Sujeto,Umbral_Minimo
sub-00_post,0.09
sub-00_pre,0.12
sub-01_post,0.18
sub-01_pre,0.14
sub-11_post,0.14
sub-11_pre,0.2
sub-12_post,0.25
sub-12_pre,0.12
sub-13_post,0.33
sub-13_pre,0.3
sub-15_post,0.01
sub-15_pre,0.01
sub-16_post,
sub-16_pre,
sub-17_post,0.22
sub-17_pre,0.21
sub-18_post,0.01
sub-18_pre,0.01
sub-20_post,0.14
sub-20_pre,0.19
sub-21_post,0.33
sub-21_pre,0.29
sub-22_post,0.3
sub-22_pre,0.29
sub-23_post,0.22
sub-23_pre,0.09
sub-24_post,0.22
sub-24_pre,0.13
sub-25_post,0.12
sub-25_pre,0.1
sub-26_post,0.07
sub-26_pre,0.18
sub-27_post,0.32
sub-27_pre,0.17
sub-28_post,0.25
sub-28_pre,0.13
sub-29_post,0.13
sub-29_pre,0.2
sub-30_post,0.16
sub-30_pre,0.08
sub-33_post,0.08
sub-33_pre,0.16
sub-34_post,
sub-34_pre,0.18
